1,200,438,758,2
2,250,550,592,1
3,60,396,490,2
4,60,351,550,2
5,250,475,579,1
6,250,525,406,1
7,60,321,563,1
8,60,358,696,2
9,90,339,489,1
10,200,512,553,1
11,30,340,392,1
12,250,523,352,1
13,200,416,423,1
14,250,614,753,2
15,200,552,394,1
16,200,507,714,1
17,60,402,507,1
18,200,537,446,1
19,160,538,765,1
20,160,469,633,2
21,200,498,436,1
22,250,621,381,2
23,30,582,450,2
24,250,393,639,1
25,90,385,467,2
26,60,397,762,2
27,60,338,650,1
28,60,319,633,1
29,120,383,724,1
30,200,489,581,1
31,60,425,495,2
32,90,539,614,2
33,60,352,590,1
34,90,469,575,2
35,250,0,363,2
36,30,377,777,2
37,200,503,766,1
38,200,471,596,1
39,120,452,328,2
40,120,425,305,2
41,200,543,595,2
42,60,332,491,1
43,250,593,579,2
44,160,468,453,1
45,30,430,435,2
46,90,368,430,1
47,30,370,717,1
48,30,364,442,2
49,90,337,615,1
50,90,331,692,1
51,30,390,514,2
52,30,419,520,1
53,60,380,463,1
54,250,616,492,1
55,60,378,631,1
56,90,325,651,1
57,90,341,673,2
58,30,404,380,1
59,120,510,367,2
60,120,515,655,1
61,90,413,351,2
62,200,556,717,1
63,200,624,475,2
64,250,0,447,1
65,60,428,698,1
66,60,488,442,2
67,90,425,395,2
68,250,704,458,1
69,60,450,703,1
70,30,541,608,1
71,160,560,313,1
72,60,499,351,1
73,120,522,347,1
74,200,601,521,1
75,160,638,576,1
76,200,528,542,2
77,120,460,398,2
78,200,627,490,1
79,60,383,751,1
80,160,674,485,1
81,120,492,711,2
82,60,469,565,2
83,200,613,373,1
84,90,387,640,2
85,200,877,464,1
86,30,623,698,1
87,160,563,754,2
88,90,401,728,1
89,30,383,579,1
90,60,424,392,1
91,200,625,573,2
92,160,495,582,1
93,200,468,630,1
94,90,381,583,1
95,250,686,551,2
96,60,416,580,1
97,60,552,540,1
98,90,425,512,2
99,160,576,394,1
100,60,391,418,2
101,160,747,404,2
102,60,498,401,2
103,60,469,497,2
104,120,414,350,1
105,90,381,712,2
106,90,371,532,1
107,120,546,655,1
108,200,693,485,1
109,160,450,689,2
110,250,733,461,1
111,120,475,519,2
112,160,540,704,1
113,160,591,706,1
114,60,557,718,2
115,90,432,376,1
116,160,756,388,1
117,60,543,568,1
118,200,640,496,1
119,120,455,740,1
120,200,672,445,1
121,90,387,700,1
122,250,854,451,2
123,120,395,683,2
124,120,386,378,1
125,60,378,325,2
126,200,378,780,1
127,60,327,793,1
128,200,505,604,1
129,250,665,751,1
130,60,369,725,1
131,90,370,526,2
132,250,427,350,1
133,160,467,798,2
134,60,504,461,1
135,160,452,333,1
136,120,459,456,2
137,30,439,370,2
138,120,600,494,1
139,90,387,582,1
140,250,656,713,1
141,90,381,643,1
142,60,373,586,1
143,90,423,448,1
144,120,494,613,2
145,250,869,336,1
146,60,412,756,1
147,200,633,624,1
148,160,635,525,1
149,90,398,394,1
150,90,375,752,1
151,90,360,527,1
152,250,733,317,2
153,60,460,739,2
154,250,512,439,1
155,30,466,728,2
156,160,770,672,2
157,160,678,301,1
158,60,0,393,2
159,200,564,718,1
160,60,531,572,2
161,250,650,410,2
162,160,576,769,2
163,250,912,608,1
164,250,855,599,1
165,120,363,672,1
166,160,623,340,1
167,250,788,325,1
168,200,897,542,2
169,30,858,353,1
170,90,442,416,2
171,30,769,349,1
172,160,660,332,1
173,120,547,585,1
174,120,501,551,2
175,160,544,760,2
176,120,548,615,2
177,60,540,793,2
178,90,415,607,1
179,160,521,654,1
180,250,630,348,1
181,60,528,673,2
182,120,535,571,1
183,90,416,677,1
184,60,519,790,1
185,120,563,353,2
186,60,464,330,1
187,200,641,370,1
188,60,626,550,2
189,250,646,365,1
190,250,687,421,2
191,200,577,480,2
192,90,368,442,1
193,90,540,319,2
194,200,669,729,2
195,250,913,641,1
196,250,864,466,1
197,90,417,667,1
198,30,358,758,1
199,200,673,535,1
200,60,378,655,2
201,30,477,419,1
202,60,480,532,1
203,30,583,724,1
