1,120,0,363,2
2,160,483,433,1
3,250,631,503,1
4,90,422,627,1
5,160,457,695,1
6,200,383,775,1
7,120,283,428,1
8,60,470,761,1
9,160,399,478,2
10,200,526,753,1
11,250,873,789,1
12,120,320,710,1
13,90,255,785,1
14,60,491,686,1
15,30,451,672,1
16,250,781,742,1
17,120,396,329,1
18,60,312,712,1
19,160,449,550,1
20,160,386,515,1
21,160,459,708,2
22,250,595,506,1
23,200,436,517,1
24,250,0,487,1
25,90,422,404,1
26,60,283,443,1
27,60,281,408,1
28,60,393,749,2
29,160,443,568,2
30,30,383,524,1
31,160,419,727,1
32,200,373,315,1
33,30,353,448,1
34,250,767,353,1
35,30,396,340,1
36,250,621,471,2
37,160,422,500,2
38,30,490,797,2
39,120,384,530,2
40,60,328,702,1
41,200,388,701,2
42,120,325,729,1
43,120,343,716,1
44,120,0,795,2
45,200,464,371,1
46,90,318,363,1
47,160,340,459,1
48,30,376,349,1
49,160,308,650,1
50,120,310,554,1
51,250,866,565,1
52,200,511,364,1
53,160,401,504,2
54,60,326,618,1
55,30,329,444,1
56,160,313,650,1
57,160,394,605,1
58,120,346,732,1
59,30,428,733,1
60,120,315,746,1
61,90,404,391,2
62,120,532,744,2
63,90,396,445,1
64,30,511,336,1
65,30,562,400,1
66,90,398,423,2
67,200,487,698,1
68,250,557,766,2
69,160,426,672,1
70,160,386,427,1
71,60,378,432,1
72,90,405,384,2
73,160,336,703,1
74,60,403,396,1
75,30,474,472,1
76,120,312,598,1
77,160,332,797,1
78,200,442,332,2
79,250,670,547,1
80,30,475,681,2
81,60,334,500,1
82,160,334,391,2
83,160,373,308,1
84,120,467,635,2
85,120,439,320,2
86,160,422,551,1
87,30,454,778,1
88,120,376,589,1
89,120,355,397,1
90,60,644,351,1
91,200,347,770,2
92,200,340,334,1
93,250,654,733,1
94,120,348,745,1
95,90,364,420,2
96,200,513,384,1
97,200,390,387,1
98,160,368,653,1
99,160,352,658,1
100,250,651,425,2
101,120,330,729,1
102,60,493,421,2
103,120,342,606,1
104,30,381,526,1
105,60,369,391,1
106,60,324,405,1
107,120,346,796,1
108,90,492,364,2
109,160,447,695,1
110,250,927,593,1
111,60,0,766,2
112,200,878,382,1
113,200,434,428,1
114,60,372,482,1
115,250,685,525,1
116,90,348,400,1
117,60,354,358,1
118,30,413,736,1
119,160,431,345,2
120,60,299,485,1
121,60,428,734,1
122,30,519,773,1
123,120,493,300,2
124,200,476,512,1
125,60,420,634,1
126,250,678,548,1
127,90,610,330,1
128,250,641,679,2
129,250,0,560,1
130,30,712,623,1
131,250,618,757,1
132,120,425,490,2
133,30,561,351,2
134,60,354,630,1
135,200,428,598,2
136,250,625,553,2
137,60,478,500,2
138,60,434,765,1
139,90,414,684,2
140,160,426,734,2
141,250,685,656,1
142,200,551,475,1
143,60,427,330,1
144,250,666,335,1
145,250,599,764,2
146,120,425,366,1
147,60,399,542,1
148,30,482,653,2
149,160,398,514,1
150,160,438,736,2
151,60,349,554,1
152,160,396,507,2
153,160,370,434,2
154,120,0,337,2
155,60,421,790,1
156,60,363,695,1
157,90,342,717,1
158,250,746,472,1
159,250,657,620,2
160,250,656,550,1
161,30,710,701,1
162,160,390,557,1
163,200,479,540,1
164,60,339,382,1
165,250,787,502,1
166,200,619,345,1
167,250,609,472,1
168,120,551,547,2
169,250,558,303,1
170,160,290,650,1
171,30,513,425,2
172,200,346,612,1
173,250,537,672,2
174,200,440,456,1
175,30,550,773,1
176,90,368,782,1
177,30,493,719,2
178,30,334,526,1
179,120,380,311,1
180,120,354,794,1
181,250,642,712,1
182,200,440,371,2
183,30,706,747,1
184,250,528,786,2
185,120,417,611,2
186,200,417,438,2
187,200,381,748,1
188,30,502,538,1
189,120,355,488,1
190,60,353,620,1
191,30,420,309,1
192,250,727,330,1
193,160,353,741,1
194,120,318,539,1
195,160,394,784,1
196,120,441,647,1
197,60,434,686,2
198,60,418,501,2
199,60,372,496,2
200,160,368,625,1
201,60,324,477,1
202,90,376,600,2
203,160,447,351,1
204,120,406,709,2
205,30,530,306,2
206,30,493,415,1
