1, 200, 0, 337, 1
2, 120, 0, 765, 1
3, 30, 0, 358, 1
4, 250, 0, 364, 1
5, 90, 0, 544, 1
6, 90, 0, 544, 1
7, 250, 0, 337, 2
8, 30, 0, 483, 2
9, 60, 0, 750, 1
10, 250, 0, 513, 1
11, 30, 0, 542, 2
12, 250, 0, 551, 1
13, 200, 0, 780, 1
14, 120, 0, 437, 2
15, 30, 947, 509, 1
16, 90, 667, 479, 1
17, 120, 0, 572,1
18, 250, 0, 781, 2
19, 90, 0, 408, 2
20, 120, 337, 486, 2
21, 250, 494, 711, 1
22, 250, 795, 456, 1
23, 30, 430, 519, 2
24, 60, 401, 487, 1
25, 60, 318, 709, 1
26, 160, 320, 467, 2
27, 90, 412, 316, 1
28, 60, 353, 351, 2
29, 120, 370, 614, 1
30, 250, 566, 663, 1
31, 250, 319, 431, 1
32, 90, 283, 762, 2
33, 90, 333, 589, 2
34, 90, 409, 790, 1
35, 200, 328, 397, 2
36, 200, 278, 497, 1
37, 120, 344, 678, 1
38, 200, 291, 697, 1
39, 60, 376, 717, 2
40, 250, 344, 608, 1
41, 60, 0, 315,2
42, 90, 360, 761, 2
43, 160, 288, 681, 1
44, 250, 332, 714, 2
45, 250, 364, 336, 1
46, 30, 0, 614,1
47, 160, 278, 498, 1
48, 250, 260, 390, 1
49, 60, 924, 708, 1
50, 90, 423, 449, 2
51, 120, 366, 745, 2
52, 250, 367, 563, 2
53, 250, 373, 596, 1
54, 120, 373, 408, 2
55, 120, 391, 339, 1
56, 60, 399, 310, 1
57, 30, 408, 516, 2
58, 90, 435, 492, 1
59, 90, 332, 335, 1
60, 160, 477, 325, 2
61, 30, 568, 343, 1
62, 160, 777, 541, 1
63, 250, 382, 781, 1
64, 160, 324, 628, 1
65, 250, 423, 787, 2
66, 200, 503, 634, 1
67, 200, 361, 652, 1
68, 250, 364, 367, 1
69, 200, 329, 568, 1
70, 120, 390, 656, 2
71, 200, 376, 448, 1
72, 160, 316, 515, 1
73, 30, 0, 717,2
74, 90, 380, 646, 1
75, 250, 305, 738, 1
76, 160, 286, 372, 1
77, 250, 337, 730, 2
78, 160, 354, 751, 1
79, 30, 492, 633, 1
80, 90, 471, 587, 2
81, 30, 410, 612, 1
82, 120, 285, 341, 1
83, 90, 265, 786, 1
84, 250, 332, 441, 2
85, 60, 381, 334, 2
86, 250, 320, 798, 1
87, 30, 808, 661, 1
88, 160, 359, 697, 2
89, 60, 377, 733, 2
90, 90, 569, 759, 1
91, 60, 476, 563, 1
92, 200, 371, 461, 1
93, 120, 417, 627, 2
94, 200, 416, 780, 1
95, 160, 309, 389, 1
96, 160, 377, 731, 1
97, 60, 0, 700, 1
98, 120, 0, 772, 1
99, 90, 410, 700, 1
100, 30, 0, 746,2
101, 160, 452, 539, 1
102, 200, 487, 597, 1
103, 90, 333, 534, 1
104, 90, 428, 303, 2
105, 60, 352, 335, 1
106, 30, 465, 528, 1
107, 60, 386, 315, 1
108, 200, 377, 568, 2
109, 120, 328, 676, 1
110, 60, 341, 664, 2
111, 250, 296, 752, 1
112, 90, 568, 586, 2
113, 90, 569, 591, 1
114, 60, 523, 524, 1
115, 90, 393, 305, 2
116, 160, 352, 615, 1
117, 90, 360, 610, 1
118, 120, 376, 448, 1
119, 90, 364, 619, 2
120, 90, 0, 337,1
121, 90, 383, 305, 2
122, 90, 396, 316, 2
123, 250, 492, 589, 1
124, 160, 357, 410, 2
125, 200, 330, 375, 1
126, 250, 386, 697, 1
127, 120, 340, 615, 1
128, 200, 426, 589, 1
129, 250, 342, 548, 1
130, 250, 379, 616, 2
131, 90, 321, 721, 1
132, 160, 346, 322, 1
133, 60, 463, 458, 1
134, 200, 402, 386, 2
