1,200,337,337,1
2,120,303,765,1
3,30,343,358,1
4,250,384,364,1
5,90,293,544,1
6,90,280,544,1
7,250,399,337,2
8,30,0,483,2
9,60,326,750,1
10,250,438,513,1
11,30,329,542,2
12,250,299,551,1
13,200,367,780,1
14,120,385,437,2
15,30,298,509,1
16,90,313,479,1
17,120,289,572,1
18,250,351,781,2
19,90,524,408,2
20,120,288,486,2
21,250,406,711,1
22,250,306,456,1
23,30,300,519,2
24,60,300,487,1
25,60,246,709,1
26,160,363,467,2
27,90,329,316,1
28,60,327,351,2
29,120,240,614,1
30,250,344,663,1
31,250,473,431,1
32,90,347,762,2
33,90,319,589,2
34,90,307,790,1
35,200,395,397,2
36,200,0,497,1
37,120,292,678,1
38,200,381,697,1
39,60,349,717,2
40,250,383,608,1
41,60,0,315,2
42,90,335,761,2
43,160,336,681,1
44,250,397,714,2
45,250,345,336,1
46,30,318,614,1
47,160,330,498,1
48,250,381,390,1
49,60,287,708,1
50,90,321,449,2
51,120,365,745,2
52,250,361,563,2
53,250,308,596,1
54,120,0,408,2
55,120,335,339,1
56,60,285,310,1
57,30,376,516,2
58,90,459,492,1
59,90,358,335,1
60,160,458,325,2
61,30,318,343,1
62,160,363,541,1
63,250,420,781,1
64,160,328,628,1
65,250,397,787,2
66,200,484,634,1
67,200,340,652,1
68,250,341,367,1
69,200,341,568,1
70,120,362,656,2
71,200,404,448,1
72,160,0,515,1
73,30,323,717,2
74,90,300,646,1
75,250,378,738,1
76,160,333,372,1
77,250,382,730,2
78,160,326,751,1
79,30,343,633,1
80,90,365,587,2
81,30,344,612,1
82,120,340,341,1
83,90,418,786,1
84,250,468,441,2
85,60,421,334,2
86,250,329,798,1
87,30,304,661,1
88,160,428,697,2
89,60,0,733,2
90,90,365,759,1
91,60,339,563,1
92,200,359,461,1
93,120,355,627,2
94,200,337,780,1
95,160,312,389,1
96,160,643,731,1
97,60,271,700,1
98,120,351,772,1
99,90,311,700,1
100,30,357,746,2
101,160,334,539,1
102,200,400,597,1
103,90,317,534,1
104,90,498,303,2
105,60,407,335,1
106,30,473,528,1
107,60,328,315,1
108,200,370,568,2
109,120,301,676,1
110,60,429,664,2
111,250,335,752,1
112,90,384,586,2
113,90,298,591,1
114,60,343,524,1
115,90,382,305,2
116,160,344,615,1
117,90,274,610,1
118,120,304,448,1
119,90,349,619,2
120,90,277,337,1
121,90,363,305,2
122,90,327,316,2
123,250,398,589,1
124,160,523,410,2
125,200,0,375,1
126,250,312,697,1
127,120,329,615,1
128,200,385,589,1
129,250,353,548,1
130,250,379,616,2
131,90,381,721,1
132,160,334,322,1
133,60,334,458,1
134,200,424,386,2
135,200,296,380,1
136,90,295,466,1
137,30,396,544,2
138,60,340,581,2
139,250,947,344,1
140,120,297,497,1
141,250,569,411,2
142,160,336,420,1
143,30,299,301,1
144,60,299,398,1
145,250,423,721,2
146,60,341,434,1
147,60,483,311,2
148,90,0,617,1
149,200,345,517,1
150,120,301,314,1
151,250,373,751,2
152,200,418,332,2
153,200,467,300,1
154,120,284,677,1
155,200,404,645,1
156,60,309,585,1
157,90,386,559,1
158,30,289,636,1
159,30,342,567,1
160,160,416,747,2
161,120,347,693,2
162,90,377,482,2
163,200,680,551,2
164,200,378,460,1
165,60,310,306,1
166,120,314,739,2
167,90,339,525,2
168,120,446,341,1
169,200,368,463,1
170,30,322,781,1
171,250,387,522,2
172,30,294,576,1
173,200,392,450,2
174,90,341,717,1
175,250,528,375,1
176,60,341,511,1
177,60,397,649,2
178,200,335,635,1
179,120,300,752,1
180,30,311,700,1
181,60,310,477,1
182,90,362,711,2
183,30,295,510,1
184,200,334,432,1
185,250,554,572,1
186,90,537,479,2
187,30,340,365,1
188,250,340,570,1
189,30,387,311,1
190,30,349,593,2
191,120,371,673,2
192,200,462,335,1
193,200,327,717,1
194,250,324,467,1
195,120,329,483,1
196,90,330,371,1
197,60,304,622,1
198,30,452,380,2
199,60,321,731,1
200,60,311,561,1
201,160,385,578,1
202,90,354,736,2
203,160,311,728,1
204,160,486,301,2
205,30,306,729,1
206,90,383,538,2
207,250,428,623,2
208,160,320,657,1
