1,160,527,714,1
2,30,526,768,2
3,160,386,342,1
4,160,447,693,2
5,200,393,486,1
6,120,351,342,1
7,160,401,342,1
8,200,297,666,1
9,60,319,440,1
10,60,406,542,1
11,160,278,639,1
12,90,306,341,1
13,30,474,520,1
14,120,0,380,2
15,250,767,656,1
16,160,388,527,2
17,250,663,765,1
18,120,314,582,1
19,250,590,668,1
20,120,441,672,1
21,60,355,683,1
22,250,548,632,1
23,250,536,472,1
24,90,445,603,2
25,60,321,753,1
26,30,497,686,1
27,30,359,668,1
28,60,335,738,1
29,60,654,331,2
30,30,0,431,1
31,250,643,705,1
32,90,459,582,2
33,250,659,377,1
34,120,353,786,1
35,60,397,537,2
36,200,418,553,2
37,30,350,530,1
38,160,398,562,2
39,90,376,673,2
40,250,800,703,2
41,30,726,528,2
42,120,323,614,1
43,200,410,307,1
44,90,406,355,2
45,120,337,444,1
46,250,419,557,1
47,120,343,350,1
48,160,318,414,1
49,30,341,367,1
50,200,410,389,2
51,250,556,702,1
52,30,370,778,1
53,90,313,628,1
54,120,313,618,1
55,90,293,694,1
56,30,422,374,1
57,30,0,572,2
58,120,327,356,1
59,120,312,472,1
60,90,375,780,1
61,200,406,490,2
62,60,315,500,1
63,60,486,561,2
64,120,327,778,1
65,250,561,343,1
66,90,479,773,1
67,160,429,386,1
68,250,532,436,1
69,250,410,710,1
70,200,406,784,2
71,30,468,649,1
72,60,444,649,1
73,60,396,429,2
74,30,0,521,2
75,30,490,448,2
76,60,388,466,2
77,120,517,552,1
78,90,415,441,2
79,250,540,703,1
80,120,281,517,1
81,160,392,622,2
82,30,447,584,2
83,200,383,605,2
84,120,333,553,1
85,60,326,546,1
86,90,330,549,1
87,250,543,708,1
88,120,339,399,1
89,30,433,629,2
90,90,380,325,1
91,200,346,580,1
92,120,348,336,1
93,160,385,432,2
94,200,341,489,2
95,90,268,689,1
96,250,756,599,2
97,250,376,329,1
98,160,440,397,2
99,200,559,323,2
100,160,423,759,2
101,60,333,593,1
102,90,341,594,1
103,200,428,663,1
104,200,429,387,2
105,200,317,580,1
106,90,432,778,2
107,90,319,591,1
108,30,418,793,2
109,60,430,302,2
110,90,377,302,1
111,160,402,790,2
112,60,362,695,1
113,250,635,444,2
114,200,0,500,2
115,200,439,428,2
116,200,451,763,1
117,160,476,407,1
118,120,266,673,1
119,200,375,396,1
120,200,329,684,1
121,60,295,675,1
122,160,396,360,1
123,120,396,365,1
124,120,334,773,1
125,90,437,780,2
126,160,554,570,2
127,30,392,650,1
128,60,401,693,1
129,250,464,704,2
130,60,424,702,1
131,160,409,408,2
132,30,454,758,2
133,160,445,538,1
134,120,361,406,1
135,120,333,590,1
136,160,296,694,1
137,120,283,455,1
138,200,366,615,1
139,90,438,756,2
140,120,369,534,1
141,90,311,448,1
142,60,354,519,1
143,250,406,438,1
144,160,407,402,2
145,250,618,329,1
146,90,308,448,1
147,200,559,743,1
148,160,340,407,1
149,200,410,458,2
150,250,590,665,1
151,90,377,312,1
152,250,583,385,1
153,200,380,743,1
154,90,375,314,1
155,30,391,714,1
156,120,391,747,1
157,120,341,466,1
158,250,497,441,2
159,90,338,650,1
160,90,329,674,1
161,30,544,675,1
162,60,334,554,1
163,30,400,407,1
164,200,401,597,2
165,120,424,550,2
166,30,285,776,1
167,120,366,674,2
168,160,334,529,1
169,30,350,442,1
170,160,291,482,1
171,30,311,466,1
172,160,436,397,2
173,160,403,602,2
174,60,420,667,2
175,30,487,414,2
176,200,394,706,1
177,200,386,481,2
178,120,321,552,1
179,200,378,373,2
180,30,581,429,2
181,30,514,686,1
182,60,333,482,1
183,160,338,730,1
184,200,385,480,1
185,120,343,720,1
186,90,334,717,1
187,30,381,501,1
188,160,290,673,1
189,200,455,362,2
190,250,657,786,1
191,200,385,377,1
192,30,0,345,2
193,120,318,797,1
194,200,390,761,1
195,200,378,680,1
196,90,410,739,1
197,200,627,532,2
198,120,308,717,1
199,30,664,473,2
200,120,495,690,2
201,60,461,348,2
202,120,0,782,2
203,250,954,527,2
204,60,364,333,2
205,90,353,794,2
206,90,406,690,1
207,60,423,361,2
