1,30,0,582,1
2,250,764,443,1
3,160,460,604,2
4,250,0,328,1
5,60,520,501,2
6,30,375,503,1
7,160,507,679,1
8,60,358,370,1
9,160,451,440,1
10,200,441,362,2
11,90,337,733,1
12,60,378,602,2
13,250,0,311,1
14,60,454,761,2
15,90,520,589,2
16,30,596,760,2
17,90,456,392,1
18,160,513,637,1
19,160,441,377,1
20,250,874,642,2
21,120,370,777,1
22,250,723,679,1
23,160,529,391,2
24,160,486,701,2
25,160,478,464,1
26,250,850,605,1
27,120,461,722,2
28,60,451,553,1
29,90,399,799,2
30,250,666,481,1
31,90,531,335,1
32,120,573,486,1
33,60,627,591,1
34,200,534,772,2
35,250,0,412,1
36,200,647,587,1
37,250,0,675,2
38,250,776,460,2
39,30,652,708,1
40,90,492,544,2
41,250,639,474,2
42,60,471,336,1
43,90,424,785,1
44,120,521,767,2
45,120,641,324,1
46,160,611,791,1
47,90,443,396,1
48,60,500,477,1
49,30,584,770,1
50,30,471,774,2
51,160,515,413,1
52,60,495,699,2
53,160,594,623,1
54,60,456,702,2
55,120,380,383,1
56,30,381,396,1
57,30,507,475,2
58,250,0,725,1
59,120,427,434,1
60,200,527,655,2
61,200,556,554,1
62,90,396,702,2
63,90,402,613,2
64,90,457,418,1
65,200,477,425,1
66,250,941,472,1
67,160,547,565,1
68,250,744,517,2
69,90,578,378,1
70,250,748,665,1
71,90,451,363,2
72,60,520,690,2
73,160,486,381,1
74,250,643,374,2
75,160,429,711,1
76,90,516,738,1
77,90,534,661,1
78,250,816,647,1
79,30,506,353,2
80,200,714,760,1
81,200,763,355,2
82,160,477,435,1
83,160,472,301,2
84,250,0,792,1
85,160,500,645,1
86,120,428,455,2
87,250,695,717,1
88,30,523,559,2
89,30,455,779,2
90,250,789,330,1
91,120,632,307,2
92,90,480,598,1
93,160,487,338,1
94,200,435,560,2
95,200,581,397,2
96,250,687,303,2
97,90,504,696,2
98,160,501,405,2
99,200,475,669,1
100,160,493,782,1
101,250,0,366,1
102,120,640,673,1
103,200,602,308,2
104,160,528,498,1
105,60,635,537,1
106,90,473,663,1
107,250,725,546,2
108,30,625,423,1
109,200,564,641,1
110,160,588,472,1
111,30,497,544,1
112,30,463,374,1
113,250,640,658,2
114,200,567,346,1
115,160,410,584,2
116,90,421,594,2
117,30,529,718,2
118,120,460,557,1
119,120,509,364,1
120,160,509,548,1
121,60,576,747,1
122,160,453,587,2
123,30,394,411,1
124,60,526,605,1
125,160,445,792,1
126,90,433,587,1
127,160,556,368,1
128,90,509,666,1
129,250,779,416,2
130,30,424,780,1
131,120,574,407,1
132,160,419,482,2
133,120,502,464,2
134,200,511,447,1
135,60,393,714,2
136,90,419,761,1
137,120,465,416,1
138,160,467,478,1
139,160,575,778,1
140,200,615,350,1
141,120,569,657,1
142,90,418,759,2
143,200,606,761,1
144,200,511,416,1
145,250,900,602,1
146,250,788,524,1
147,200,541,600,1
148,250,0,700,1
149,30,461,503,1
150,200,472,610,1
151,90,520,314,2
152,250,722,736,1
153,120,722,755,1
154,90,518,792,2
155,250,795,672,1
156,250,750,678,2
157,60,400,461,1
158,30,558,791,1
159,250,822,505,1
160,200,498,774,1
161,160,406,470,1
162,250,637,556,1
163,120,373,657,1
164,90,411,591,2
165,200,646,478,2
166,90,573,437,2
167,30,792,515,2
168,90,406,490,1
169,250,729,562,2
170,200,482,474,1
171,60,476,317,1
172,120,469,592,2
173,60,689,300,2
174,30,503,368,1
175,160,435,376,1
176,200,508,538,1
177,120,422,339,1
178,250,631,593,2
179,60,594,589,1
180,90,425,672,1
181,200,523,666,2
182,60,401,715,2
183,60,580,595,1
184,160,471,403,2
185,60,517,321,1
186,160,439,378,2
187,250,0,747,1
188,120,517,395,1
189,250,651,500,1
190,200,750,322,2
191,250,760,627,2
192,90,444,407,1
193,200,519,731,1
194,160,540,357,2
195,160,629,503,1
196,90,475,411,2
197,30,746,480,1
198,160,437,594,2
199,30,442,493,1
200,60,414,442,1
201,120,620,429,1
202,30,481,532,1
203,160,432,789,1
204,30,493,475,1
205,200,425,730,1
206,90,494,575,1
207,120,371,423,1
208,90,382,394,1
209,200,448,741,1
210,90,370,718,1
